Craving Type,Cuisine,Mood Associated,Description,Food Name
Cold,Various,Tired/Hot Day,Coffee served over ice #918,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #509",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #51,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #883,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #360,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #852,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #118,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #675,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #473,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #807,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #569",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #749",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #545",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #966",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #729,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #591,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #304,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #358,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #831,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #615,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #413",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #123",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #740,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #477",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #452",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #183,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #915,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #937,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #71",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #242",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #730,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #75,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #319,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #287,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #510,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #831,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #227,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #184",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #68,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #929,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #433",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #866,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #450",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #289,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #840",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #592",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #35,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #872,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #784,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #35,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #504",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #724",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #195,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #414,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #151,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #434,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #727,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #607,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #655",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #407,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #199,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #10,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #997,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #506",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #159,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #209,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #691",Tomato Soup
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #623,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #267,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #966",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #262,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #312",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #647,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #147,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #721,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #948,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #405",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #625",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #512",Lemon Pickle
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #553",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #187,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #702",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #793,Chicken 65
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #629",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #583,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #3,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #50,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #637,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #323,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #729,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #533,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #555",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #201,Chicken 65
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #26",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #116,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #479,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #714",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #744,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #510,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #964,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #876",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #583,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #220",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #561,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #671",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #896,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #184,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #937,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #764",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #542,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #407,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #864,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #468,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #167,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #584,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #721,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #64,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #212,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #407,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #178,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #370",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #967,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #812,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #395",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #804,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #999",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #896",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #743,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #470,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #194,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #598,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #931,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #960,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #978,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #726",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #547",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #780,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #980,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #803,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #947",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #494",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #488",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #802",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #656,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #965,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #963",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #289",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #472",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #318,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #363",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #148,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #85,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #545",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #187,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #956",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #92",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #174,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #966,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #951,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #934",Tomato Soup
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #140,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #156,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #380,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #527",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #435,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #797,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #869,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #336,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #140",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #944,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #642,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #391,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #812",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #878,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #286,French Fries
Comfort,Western,Low Mood,"Creamy, cheesy pasta #176",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #997",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #631,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #878,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #461",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #96,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #941",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #707,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #426,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #267",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #78,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #438,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #143,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #981",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #973",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #985",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #437",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #396",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #335",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #397,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #594,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #293",Fried Chicken
Sweet,Western,Comfort,Rich chocolate dessert #392,Chocolate Cake
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #82,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #260",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #255",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #300",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #103",Mac & Cheese
Crunchy,Indian,Rainy Day,Fried vegetable fritters #198,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #301,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #682,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #433,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #930,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #226,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #948,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #465",Mac & Cheese
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #992",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #874",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #214",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #972,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #529,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #223",Lemon Pickle
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #176",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #303,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #981,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #109",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #464,Hot Chocolate
Salty,American,Snack Craving,Fried potato sticks with salt #310,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #327,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #952,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #409,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #92,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #64",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #951,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #37,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #821,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #530,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #796,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #845,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #958",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #750,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #783,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #896,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #757",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #625",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #632",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #157,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #732",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #213,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #811,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #380,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #765,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #228",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #600,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #687",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #328,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #510",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #572,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #520,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #618,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #425,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #159,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #600,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #142,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #303,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #768,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #295",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #752",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #885,Hot Chocolate
Crunchy,Indian,Rainy Day,Fried vegetable fritters #506,Pakora
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #549",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #833,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #27",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #747",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #692",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #856",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #25,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #292,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #171",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #131",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #107,Khichdi
Crunchy,Indian,Rainy Day,Fried vegetable fritters #865,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #791,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #815",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #237",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #225,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #872",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #922",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #985,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #784",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #23",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #492,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #635,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #700",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #872,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #499",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #62,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #986,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #687,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #109",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #797,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #687,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #35",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #634,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #487",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #737",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #693,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #220,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #605",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #574,Chocolate Cake
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #765,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #128",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #447,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #879",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #670,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #819,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #555,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #956,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #869,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #532,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #85",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #509,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #845",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #672,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #217",Tomato Soup
Cold,Various,Happy/Chill,Frozen sweet treat #181,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #230,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #117",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #907,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #11",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #674",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #400",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #705,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #120,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #140,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #363,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #181,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #538,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #529,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #918",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #265",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #320",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #308,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #943,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #955",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #203",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #480,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #136",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #936",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #32,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #282,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #270,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #291",Mac & Cheese
Crunchy,Indian,Rainy Day,Fried vegetable fritters #352,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #24,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #441",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #764,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #498,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #201",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #685,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #432,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #46,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #533,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #653,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #700,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #642",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #682",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #592,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #489",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #129",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #478,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #408,Cold Coffee
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #295,Khichdi
